,명사,빈도
1449,예찬,1
1450,론,5
1451,의문,2
1452,밸런스,20
1453,인기,31
1454,찬양,5
1455,무시,6
1456,우스,2
1457,키보,39
1458,전혀,9
1459,톨리소,2
1460,습,1
1461,댕,1
1462,즐겜즐겜,1
1463,거때매,1
1464,설치,2
1465,하라,14
1466,박,9
1467,수렴,2
1468,거불,1
1469,월욜,1
1470,다행,2
1471,상한선,1
1472,구성,6
1473,반니,1
1474,여러,8
1475,라카,1
1476,제트,1
1477,르,1
1478,마르,1
1479,캉테,1
1480,앙리,1
1481,파,8
1482,바란,1
1483,카타르,2
1484,칼,7
1485,룰루,1
1486,포그바,1
1487,방탄,1
1488,홈그,1
1489,라비,1
1490,토티,5
1491,리스,2
1492,유로,1
1493,라퐁,1
1494,후기,7
1495,댓,3
1496,작성,6
1497,스텟,4
1498,고생,6
1499,제기,2
1500,함후,1
1501,평균핑,1
1502,거짓말,1
1503,지역,14
1504,찾기,1
1505,판연,1
1506,부도,1
1507,요새,6
1508,왤케,1
1509,만초,1
1510,슬슬,4
1511,딥빡,2
1512,휴면,1
1513,담,3
1514,막말,6
1515,편차,2
1516,곳임,1
1517,첼,17
1518,탈출,3
1519,수하,1
1520,현지,1
1521,대도,2
1522,병,13
1523,신인,1
1524,강제,12
1525,수해,1
1526,적응,25
1527,이득,31
1528,기술,12
1529,씹샛,1
1530,발련들,1
1531,무승부,9
1532,키렉,14
1533,환,1
1534,콜라보,1
1535,빡,4
1536,뒤,24
1537,커녕,1
1538,복만,1
1539,점차,5
1540,복귀,6
1541,재산,4
1542,성별,3
1543,크기,3
1544,슈챔찍는,1
1545,소수,7
1546,완전,6
1547,묵살,1
1548,치,26
1549,실수,7
1550,룰,1
1551,컷팅능력,1
1552,신급,1
1553,분전,1
1554,경하,2
1555,리기,5
1556,공겸,1
1557,떡락,4
1558,불가,3
1559,쿼드로,5
1560,땐,10
1561,비율,18
1562,일수,2
1563,학질,1
1564,태반,1
1565,생태계,2
1566,파괴,1
1567,추글,8
1568,이분,4
1569,봉훈,1
1570,언급,14
1571,유정훈,2
1572,스샷,3
1573,출처,1
1574,상임,4
1575,다기,1
1576,나나,2
1577,맞춤,1
1578,떄,3
1579,웨이,3
1580,스팅,1
1581,이빨,1
1582,명치,1
1583,정혁,1
1584,드립,12
1585,컨셉,2
1586,충,24
1587,줄알,1
1588,바르샤,1
1589,용이,5
1590,데용,1
1591,선제골,2
1592,강남스타일,1
1593,동점골,1
1594,백수,2
1595,넹,3
1596,엔딩,3
1597,결정전,1
1598,안치,1
1599,쉐도우,1
1600,복싱,1
1601,크로스플랫폼,2
1602,디아블로,1
1603,폭도,1
1604,케미,12
1605,바탕,1
1606,유,11
1607,롯,1
1608,고민,5
1609,교류,8
1610,클랜,20
1611,라운지,1
1612,전문,9
1613,환영,10
1614,클릭,12
1615,직급,9
1616,맵,3
1617,눈뽕,2
1618,경기장,4
1619,노골,1
1620,세레모니,4
1621,트롤,2
1622,기능,28
1623,바랬,1
1624,영국,1
1625,리버풀,5
1626,아주,7
1627,소,1
1628,장난,1
1629,닼,1
1630,접지,1
1631,고급,5
1632,키퍼,8
1633,증명,1
1634,부임,2
1635,챔피언,1
1636,빨,11
1637,음,9
1638,훨신,1
1639,프레임,4
1640,판꼴,1
1641,화좀,1
1642,칭구들,1
1643,화내,1
1644,시발련,1
1645,벅벅,1
1646,티비,2
1647,손해,7
1648,오자,1
1649,핫,10
1650,검사,12
1651,힐링,2
1652,대전,5
1653,작년,5
1654,연말,1
1655,판매,6
1656,반나절,2
1657,고문,1
1658,금은,4
1659,분당,1
1660,사이트,1
1661,리젠,1
1662,글좀,1
1663,한지,2
1664,개월,11
1665,코인,1
1666,제대로,7
1667,감탄,1
1668,배움,2
1669,즐거움,1
1670,저리,5
1671,호날두,4
1672,삐,3
1673,이량,1
1674,쌔,2
1675,빈공간,1
1676,격수들,2
1677,등지,1
1678,스킬,5
1679,마킹,1
1680,전개,10
1681,이안,2
1682,헤딩,5
1683,한게임,5
1684,부트,2
1685,게뇨,2
1686,여태껏,1
1687,바보,4
1688,투톱,3
1689,댕겨,1
1690,수미,6
1691,다득점,2
1692,이내,5
1693,승리,11
1694,강박,2
1695,하루살이,1
1696,거즘,1
1697,편,8
1698,바라지,5
1699,홈피,4
1700,장문,4
1701,푸념,2
1702,게시판,14
1703,핫햇던,1
1704,어쩌냐,1
1705,요키,1
1706,생존,2
1707,싸움,6
1708,총,8
1709,명검,1
1710,획기,1
1711,대안,3
1712,치기,5
1713,선택,53
1714,전향,12
1715,흑백,2
1716,겟,1
1717,구별,1
1718,코리아,4
1719,담당,4
1720,출시,25
1721,관,4
1722,설명,22
1723,여러가지,10
1724,트레이드,11
1725,재료,2
1726,실상,1
1727,본부장,1
1728,백섭,2
1729,천명,1
1730,강도,2
1731,졷같,1
1732,졷,2
1733,배율,3
1734,귀속,8
1735,뻥튀기,2
1736,취,1
1737,살수,2
1738,시세,4
1739,양발퍼주,1
1740,사기,8
1741,쉬움,2
1742,대비,6
1743,혜자,2
1744,엔드,2
1745,은카,3
1746,큰손,13
1747,크리티컬,1
1748,타격,5
1749,셧을텐,1
1750,헤비,3
1751,충성,1
1752,대우,1
1753,고여,2
1754,중심,1
1755,호돈,2
1756,식물,8
1757,대갈,2
1758,미페,3
1759,행,1
1760,훈련,14
1761,세기,1
1762,편의,8
1763,막장,1
1764,팩트,11
1765,천진,1
1766,아마,5
1767,신경,12
1768,음고,1
1769,잔치,1
1770,그간,2
1771,애초,33
1772,탓,20
1773,겜탓,1
1774,역할,1
1775,샡기,1
1776,라이트,9
1777,덕이,1
